registration,manufacturerSerial,lineNumber,family,familyCode,model,status,deliveryDateText,sourceUrl
N301DV,6923,,Airbus A321,a321,321-213,Active,30/06/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N301NB,1058,,Airbus A319,a319,319-114,Active,01/02/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N302DN,7031,,Airbus A321,a321,321-213,Active,13/04/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N302DU,55070,,Airbus A220,csr,220-371,Active,22/10/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N302NB,1062,,Airbus A319,a319,319-114,Active,01/02/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N303DN,7061,,Airbus A321,a321,321-213,Active,30/04/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N303DU,55075,,Airbus A220,csr,220-371,Active,23/10/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N304DN,7112,,Airbus A321,a321,321-213,Active,01/07/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N304DU,55080,,Airbus A220,csr,220-371,Active,26/10/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N305DN,7149,,Airbus A321,a321,321-213,Active,11/06/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N305DU,55084,,Airbus A220,csr,220-371,Active,30/10/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N306DN,7165,,Airbus A321,a321,321-213,Active,15/07/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N306DU,55085,,Airbus A220,csr,220-371,Active,07/12/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N307DU,55096,,Airbus A220,csr,220-371,Active,01/02/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N307DX,7214,,Airbus A321,a321,321-213,Active,30/07/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N308DN,7233,,Airbus A321,a321,321-213,Active,13/08/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N308DU,55101,,Airbus A220,csr,220-371,Active,13/04/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N309DN,7268,,Airbus A321,a321,321-213,Active,19/08/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N309DU,55107,,Airbus A220,csr,220-371,Active,10/06/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N310DN,7293,,Airbus A321,a321,321-213,Active,10/09/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N310DU,55142,,Airbus A220,csr,220-371,Active,16/12/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N311DN,7304,,Airbus A321,a321,321-213,Active,22/09/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N311DU,55153,,Airbus A220,csr,220-371,Active,16/06/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N312DN,7364,,Airbus A321,a321,321-213,Active,02/11/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N312DU,55170,,Airbus A220,csr,220-371,Active,30/09/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N313DN,7381,,Airbus A321,a321,321-211,Active,10/11/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N313DU,55175,,Airbus A220,csr,220-371,Active,08/11/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N314DN,7281,,Airbus A321,a321,321-213,Active,02/12/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N314DU,55192,,Airbus A220,csr,220-371,Active,24/02/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N314NB,1191,,Airbus A319,a319,319-114,Active,01/02/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N315DN,7436,,Airbus A321,a321,321-213,Active,08/12/2016,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N315DU,55195,,Airbus A220,csr,220-371,Active,30/12/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N315NB,1230,,Airbus A319,a319,319-114,Active,26/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N316DN,7327,,Airbus A321,a321,321-211,Active,20/01/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N316DU,55207,,Airbus A220,csr,220-371,Active,27/06/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N316NB,1249,,Airbus A319,a319,319-114,Active,10/01/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N317DN,7373,,Airbus A321,a321,321-211,Active,10/02/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N317DU,55212,,Airbus A220,csr,220-371,Active,01/08/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N317NB,1324,,Airbus A319,a319,319-114,Active,01/09/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N318DU,55220,,Airbus A220,csr,220-371,Active,01/09/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N318DX,7441,,Airbus A321,a321,321-213,Active,21/03/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N318NB,1325,,Airbus A319,a319,319-114,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N319DN,7479,,Airbus A321,a321,321-211,Active,13/04/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N319DU,55228,,Airbus A220,csr,220-371,Active,30/10/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N319NB,1346,,Airbus A319,a319,319-114,Active,06/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N320DN,7546,,Airbus A321,a321,321-211,Active,18/05/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N320DU,55237,,Airbus A220,csr,220-371,Active,21/11/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N320NB,1392,,Airbus A319,a319,319-114,Active,06/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N321DH,7592,,Airbus A321,a321,321-211,Active,12/06/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N321DU,55256,,Airbus A220,csr,220-371,Active,19/12/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N321NB,1414,,Airbus A319,a319,319-114,Active,01/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N322DN,7707,,Airbus A321,a321,321-211,Active,21/06/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N322DU,55266,,Airbus A220,csr,220-371,Active,01/03/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N322NB,1434,,Airbus A319,a319,319-114,Active,17/10/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N323DN,7672,,Airbus A321,a321,321-211,Active,21/07/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N323DU,55259,,Airbus A220,csr,220-371,Active,21/12/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N323NB,1453,,Airbus A319,a319,319-114,Active,30/08/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N324DU,55261,,Airbus A220,csr,220-371,Active,28/12/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N324DX,7765,,Airbus A321,a321,321-211,Active,18/07/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
