registration,manufacturerSerial,lineNumber,family,familyCode,model,status,deliveryDateText,sourceUrl
N350DN,8207,,Airbus A321,a321,321-211,Active,15/05/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N350NA,418,,Airbus A320,a320,320-212,Active,15/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N351DN,8251,,Airbus A321,a321,321-211,Active,31/05/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N351NB,1820,,Airbus A319,a319,319-114,Active,01/07/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N351NW,766,,Airbus A320,a320,320-212,Active,30/08/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N352DN,8283,,Airbus A321,a321,321-211,Active,16/05/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N352NB,1824,,Airbus A319,a319,319-114,Active,15/07/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N352NW,778,,Airbus A320,a320,320-212,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N353DN,8322,,Airbus A321,a321,321-211,Active,27/06/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N353NB,1828,,Airbus A319,a319,319-114,Active,01/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N353NW,786,,Airbus A320,a320,320-212,Active,01/01/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N354DN,8332,,Airbus A321,a321,321-211,Active,10/07/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N354NB,1833,,Airbus A319,a319,319-114,Active,24/09/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N354NW,801,,Airbus A320,a320,320-212,Active,13/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N355DN,8359,,Airbus A321,a321,321-211,Active,28/06/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N355NB,1839,,Airbus A319,a319,319-114,Active,25/06/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N355NW,807,,Airbus A320,a320,320-212,Active,26/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N356DN,8279,,Airbus A321,a321,321-211,Active,19/06/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N356NW,818,,Airbus A320,a320,320-212,Active,01/01/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N357DN,8339,,Airbus A321,a321,321-211,Active,30/06/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N357NB,1875,,Airbus A319,a319,319-114,Active,15/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N357NW,830,,Airbus A320,a320,320-212,Active,01/01/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N358DN,8316,,Airbus A321,a321,321-211,Active,11/07/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N358NB,1897,,Airbus A319,a319,319-114,Active,05/10/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N358NW,832,,Airbus A320,a320,320-212,Active,04/07/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N359DN,8370,,Airbus A321,a321,321-211,Active,01/08/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N359NB,1923,,Airbus A319,a319,319-114,Active,26/10/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N359NW,846,,Airbus A320,a320,320-212,Active,26/10/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N360DN,8388,,Airbus A321,a321,321-211,Active,24/08/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N360NB,1959,,Airbus A319,a319,319-114,Active,24/09/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N360NW,903,,Airbus A320,a320,320-212,Active,10/02/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N361DN,8423,,Airbus A321,a321,321-211,Active,31/08/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N361NB,1976,,Airbus A319,a319,319-114,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N361NW,907,,Airbus A320,a320,320-212,Active,26/07/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N362DN,8447,,Airbus A321,a321,321-211,Active,14/09/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N362NB,1982,,Airbus A319,a319,319-114,Active,27/07/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N362NW,911,,Airbus A320,a320,320-212,Active,31/07/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N363DN,8502,,Airbus A321,a321,321-211,Active,28/09/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N363NB,1990,,Airbus A319,a319,319-114,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N363NW,923,,Airbus A320,a320,320-212,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N364DX,8530,,Airbus A321,a321,321-211,Active,19/10/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N364NB,2002,,Airbus A319,a319,319-114,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N364NW,962,,Airbus A320,a320,320-212,Active,08/07/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N365DN,8536,,Airbus A321,a321,321-211,Active,08/11/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N365NB,2013,,Airbus A319,a319,319-114,Active,24/09/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N365NW,964,,Airbus A320,a320,320-212,Active,17/10/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N366DX,8694,,Airbus A321,a321,321-211,Active,24/01/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N366NB,2026,,Airbus A319,a319,319-114,Active,13/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N366NW,981,,Airbus A320,a320,320-212,Active,05/01/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N367DN,8713,,Airbus A321,a321,321-211,Active,31/01/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N367NW,988,,Airbus A320,a320,320-212,Active,10/01/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N368DN,8695,,Airbus A321,a321,321-211,Active,29/01/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N368NB,2039,,Airbus A319,a319,319-114,Active,26/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N368NW,996,,Airbus A320,a320,320-212,Active,22/01/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N369DN,8697,,Airbus A321,a321,321-211,Active,08/02/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N369NB,2047,,Airbus A319,a319,319-114,Active,26/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N369NW,1011,,Airbus A320,a320,320-212,Active,04/06/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N370DN,8765,,Airbus A321,a321,321-211,Active,01/03/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N370NB,2087,,Airbus A319,a319,319-114,Active,05/01/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N370NW,1037,,Airbus A320,a320,320-212,Active,10/02/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320-35.htm
N371DA,29619,115,Boeing 737 NG / Max,b737ng,737-832,Active,22/10/1998,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N371DN,8763,,Airbus A321,a321,321-211,Active,14/02/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N371NB,2095,,Airbus A319,a319,319-114,Active,26/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319-35.htm
N371NW,1535,,Airbus A320,a320,320-212,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320-35.htm
N372DA,29620,118,Boeing 737 NG / Max,b737ng,737-832,Active,26/10/1998,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N372DN,8809,,Airbus A321,a321,321-211,Active,14/03/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N372NW,1633,,Airbus A320,a320,320-212,Active,01/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320-35.htm
N3730B,30538,662,Boeing 737 NG / Max,b737ng,737-832,Active,22/09/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3731T,30775,665,Boeing 737 NG / Max,b737ng,737-832,Active,29/09/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3732J,30380,674,Boeing 737 NG / Max,b737ng,737-832,Active,04/10/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3733Z,30539,685,Boeing 737 NG / Max,b737ng,737-832,Active,27/10/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3734B,30776,689,Boeing 737 NG / Max,b737ng,737-832,Active,28/10/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3735D,30381,694,Boeing 737 NG / Max,b737ng,737-832,Active,03/11/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3736C,30540,709,Boeing 737 NG / Max,b737ng,737-832,Active,27/11/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3737C,30799,712,Boeing 737 NG / Max,b737ng,737-832,Active,30/11/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3738B,30382,723,Boeing 737 NG / Max,b737ng,737-832,Active,14/12/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3739P,30541,729,Boeing 737 NG / Max,b737ng,737-832,Active,06/11/2002,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N373DA,29621,123,Boeing 737 NG / Max,b737ng,737-832,Active,27/10/1998,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N373DX,8734,,Airbus A321,a321,321-211,Active,08/03/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N373NW,1641,,Airbus A320,a320,320-212,Active,10/06/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320-35.htm
N3740C,30800,732,Boeing 737 NG / Max,b737ng,737-832,Active,14/11/2002,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3741S,30487,750,Boeing 737 NG / Max,b737ng,737-832,Active,27/01/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3742C,30835,755,Boeing 737 NG / Max,b737ng,737-832,Active,01/02/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3743H,30836,770,Boeing 737 NG / Max,b737ng,737-832,Active,21/02/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3744F,30837,805,Boeing 737 NG / Max,b737ng,737-832,Active,24/05/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3745B,32373,831,Boeing 737 NG / Max,b737ng,737-832,Active,12/06/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-140.htm
N3746H,30488,842,Boeing 737 NG / Max,b737ng,737-832,Active,14/06/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3747D,32374,846,Boeing 737 NG / Max,b737ng,737-832,Active,21/05/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-140.htm
N3748Y,30489,865,Boeing 737 NG / Max,b737ng,737-832,Active,18/06/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3749D,30490,867,Boeing 737 NG / Max,b737ng,737-832,Active,25/06/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N374DA,29622,128,Boeing 737 NG / Max,b737ng,737-832,Active,04/11/1998,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N374DX,8810,,Airbus A321,a321,321-211,Active,22/03/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N374NW,1646,,Airbus A320,a320,320-212,Active,20/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320-35.htm
N3750D,32375,870,Boeing 737 NG / Max,b737ng,737-832,Active,29/06/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-140.htm
N3751B,30491,892,Boeing 737 NG / Max,b737ng,737-832,Active,16/07/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3752,30492,894,Boeing 737 NG / Max,b737ng,737-832,Active,20/07/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3753,32626,899,Boeing 737 NG / Max,b737ng,737-832,Active,26/07/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-140.htm
N3754A,29626,907,Boeing 737 NG / Max,b737ng,737-832,Active,06/08/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3755D,29627,914,Boeing 737 NG / Max,b737ng,737-832,Active,15/08/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3756,30493,917,Boeing 737 NG / Max,b737ng,737-832,Active,04/09/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3757D,30813,921,Boeing 737 NG / Max,b737ng,737-832,Active,21/08/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3758Y,30814,923,Boeing 737 NG / Max,b737ng,737-832,Active,22/08/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3759,30815,949,Boeing 737 NG / Max,b737ng,737-832,Active,20/12/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N375DN,8812,,Airbus A321,a321,321-211,Active,05/04/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N375NC,1789,,Airbus A320,a320,320-212,Active,01/03/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320-35.htm
N3760C,30816,952,Boeing 737 NG / Max,b737ng,737-832,Active,21/12/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3761R,29628,964,Boeing 737 NG / Max,b737ng,737-832,Active,20/12/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3762Y,30817,968,Boeing 737 NG / Max,b737ng,737-832,Active,19/12/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3763D,29629,1003,Boeing 737 NG / Max,b737ng,737-832,Active,19/12/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3764D,30818,1006,Boeing 737 NG / Max,b737ng,737-832,Active,22/12/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3765,30819,1008,Boeing 737 NG / Max,b737ng,737-832,Active,21/12/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3766,30820,1029,Boeing 737 NG / Max,b737ng,737-832,Active,22/12/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3767,30821,1031,Boeing 737 NG / Max,b737ng,737-832,Active,18/12/2001,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3768,29630,1053,Boeing 737 NG / Max,b737ng,737-832,Active,24/01/2002,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3769L,30822,1057,Boeing 737 NG / Max,b737ng,737-832,Active,31/01/2002,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N376DA,29624,176,Boeing 737 NG / Max,b737ng,737-832,Active,14/01/1999,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N376DN,8858,,Airbus A321,a321,321-211,Active,26/04/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N376NW,1812,,Airbus A320,a320,320-212,Active,15/03/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320-35.htm
N37700,29631,1074,Boeing 737 NG / Max,b737ng,737-832,Active,25/02/2002,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3771K,29632,1103,Boeing 737 NG / Max,b737ng,737-832,Active,04/04/2002,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N3772H,30823,3274,Boeing 737 NG / Max,b737ng,737-832,Active,20/07/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N3773D,30825,3338,Boeing 737 NG / Max,b737ng,737-832,Active,22/07/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N377DA,29625,264,Boeing 737 NG / Max,b737ng,737-832,Active,10/05/1999,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N377DE,39632,4757,Boeing 737 NG / Max,b737ng,737-8EH,Active,20/05/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-175.htm
N377DN,8856,,Airbus A321,a321,321-211,Active,12/04/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N377NW,2082,,Airbus A320,a320,320-211,Active,01/02/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320-35.htm
N378DA,30265,340,Boeing 737 NG / Max,b737ng,737-832,Active,13/08/1999,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N378DN,8822,,Airbus A321,a321,321-211,Active,21/09/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N378NW,2092,,Airbus A320,a320,320-211,Active,26/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320-35.htm
N379DA,30349,351,Boeing 737 NG / Max,b737ng,737-832,Active,23/08/1999,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N379DN,8914,,Airbus A321,a321,321-211,Active,17/05/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N380DA,30266,361,Boeing 737 NG / Max,b737ng,737-832,Active,20/09/1999,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N380DN,8915,,Airbus A321,a321,321-211,Active,21/05/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N381DN,30350,365,Boeing 737 NG / Max,b737ng,737-832,Active,13/09/1999,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N381DZ,8859,,Airbus A321,a321,321-211,Active,02/05/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N382DA,30345,389,Boeing 737 NG / Max,b737ng,737-832,Active,12/10/1999,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N382DN,8854,,Airbus A321,a321,321-211,Active,06/07/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N383DN,30346,393,Boeing 737 NG / Max,b737ng,737-832,Active,19/10/1999,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N383DZ,8916,,Airbus A321,a321,321-211,Active,04/06/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N384DA,30347,412,Boeing 737 NG / Max,b737ng,737-832,Active,22/11/1999,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N384DN,8974,,Airbus A321,a321,321-211,Active,07/06/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N385DN,30348,418,Boeing 737 NG / Max,b737ng,737-832,Active,19/11/1999,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N385DZ,8975,,Airbus A321,a321,321-211,Active,14/06/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N386DA,30373,446,Boeing 737 NG / Max,b737ng,737-832,Active,20/12/1999,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N386DN,8947,,Airbus A321,a321,321-211,Active,16/10/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N387DA,30374,457,Boeing 737 NG / Max,b737ng,737-832,Active,14/01/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N387DN,9025,,Airbus A321,a321,321-211,Active,12/07/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N388DA,30375,469,Boeing 737 NG / Max,b737ng,737-832,Active,01/02/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N388DN,9043,,Airbus A321,a321,321-211,Active,28/09/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N389DA,30376,513,Boeing 737 NG / Max,b737ng,737-832,Active,15/04/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N389DN,9057,,Airbus A321,a321,321-211,Active,21/02/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N390DA,30536,518,Boeing 737 NG / Max,b737ng,737-832,Active,28/04/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N390DN,9066,,Airbus A321,a321,321-211,Active,19/07/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N391DA,30560,535,Boeing 737 NG / Max,b737ng,737-832,Active,08/05/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N391DN,9027,,Airbus A321,a321,321-211,Active,20/12/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N392DA,30561,564,Boeing 737 NG / Max,b737ng,737-832,Active,30/05/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N392DN,9028,,Airbus A321,a321,321-211,Active,25/07/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N393DA,30377,584,Boeing 737 NG / Max,b737ng,737-832,Active,30/06/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N393DN,9067,,Airbus A321,a321,321-211,Active,06/08/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N394DA,30562,589,Boeing 737 NG / Max,b737ng,737-832,Active,29/06/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N394DX,9125,,Airbus A321,a321,321-211,Active,29/08/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N395DN,30773,604,Boeing 737 NG / Max,b737ng,737-832,Active,17/07/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N395DZ,9126,,Airbus A321,a321,321-211,Active,29/08/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N396DA,30378,632,Boeing 737 NG / Max,b737ng,737-832,Active,18/08/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N396DN,9128,,Airbus A321,a321,321-211,Active,13/09/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N397DA,30537,638,Boeing 737 NG / Max,b737ng,737-832,Active,24/08/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N397DN,9176,,Airbus A321,a321,321-211,Active,24/09/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N398DA,30774,641,Boeing 737 NG / Max,b737ng,737-832,Active,24/08/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng-35.htm
N398DN,9360,,Airbus A321,a321,321-211,Active,18/01/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-70.htm
N399DA,30379,657,Boeing 737 NG / Max,b737ng,737-832,Active,19/09/2000,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b737ng.htm
N401DZ,1915,,Airbus A330,a330,330-941N,Active,23/05/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N402DX,1920,,Airbus A330,a330,330-941N,Active,13/06/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N403DX,1931,,Airbus A330,a330,330-941N,Active,28/08/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N404DX,1935,,Airbus A330,a330,330-941N,Active,30/09/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N405DX,1949,,Airbus A330,a330,330-941N,Active,28/02/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N406DX,1953,,Airbus A330,a330,330-941N,Active,25/11/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N407DX,1957,,Airbus A330,a330,330-941N,Active,22/09/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N408DX,1962,,Airbus A330,a330,330-941N,Active,30/10/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N409DX,1983,,Airbus A330,a330,330-941N,Active,06/04/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N410DZ,1990,,Airbus A330,a330,330-941N,Active,15/06/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N411DX,1991,,Airbus A330,a330,330-941N,Active,28/05/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N412DX,1994,,Airbus A330,a330,330-941N,Active,03/03/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N413DX,1995,,Airbus A330,a330,330-941N,Active,09/09/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N414DZ,1996,,Airbus A330,a330,330-941N,Active,21/09/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
